0.00	0.66	0.01075073
0.00	0.67	0.01060228
0.00	0.68	0.01044744
0.00	0.68	0.01028631
0.00	0.69	0.01011898
0.00	0.70	0.00994556
0.00	0.71	0.00976614
0.00	0.71	0.00958085
0.00	0.72	0.00938978
0.00	0.73	0.00919306
0.00	0.74	0.00899079
0.00	0.75	0.00878312
0.00	0.75	0.00857015
0.00	0.76	0.00835202
0.00	0.77	0.00812886
0.00	0.78	0.00790080
0.00	0.79	0.00766799
0.00	0.79	0.00743055
0.00	0.80	0.00718864
0.00	0.81	0.00694240
0.00	0.82	0.00669198
0.00	0.82	0.00643752
0.00	0.83	0.00617919
0.00	0.84	0.00591714
0.00	0.85	0.00565152
0.00	0.86	0.00538250
0.00	0.86	0.00511023
0.00	0.87	0.00483489
0.00	0.88	0.00455663
0.00	0.89	0.00427563
0.00	0.89	0.00399206
0.00	0.90	0.00370608
0.00	0.91	0.00341787
0.00	0.92	0.00312759
0.00	0.93	0.00283544
0.00	0.93	0.00254158
0.00	0.94	0.00224618
0.00	0.95	0.00194943
0.00	0.96	0.00165151
0.00	0.96	0.00135260
0.00	0.97	0.00105287
0.00	0.98	0.00075250
0.00	0.99	0.00045168
0.00	1.00	0.00015059
0.01	0.00	0.00045168
0.01	0.01	0.00135477
0.01	0.02	0.00225705
0.01	0.03	0.00315796
0.01	0.04	0.00405697
0.01	0.04	0.00495354
0.01	0.05	0.00584713
0.01	0.06	0.00673719
0.01	0.07	0.00762319
0.01	0.07	0.00850461
0.01	0.08	0.00938090
0.01	0.09	0.01025154
0.01	0.10	0.01111600
0.01	0.11	0.01197377
0.01	0.11	0.01282432
0.01	0.12	0.01366715
0.01	0.13	0.01450175
0.01	0.14	0.01532762
0.01	0.14	0.01614425
0.01	0.15	0.01695115
0.01	0.16	0.01774785
0.01	0.17	0.01853385
0.01	0.18	0.01930869
0.01	0.18	0.02007190
0.01	0.19	0.02082302
0.01	0.20	0.02156159
0.01	0.21	0.02228718
0.01	0.21	0.02299934
0.01	0.22	0.02369765
0.01	0.23	0.02438169
0.01	0.24	0.02505103
0.01	0.25	0.02570529
0.01	0.25	0.02634406
0.01	0.26	0.02696697
0.01	0.27	0.02757363
0.01	0.28	0.02816368
0.01	0.29	0.02873677
0.01	0.29	0.02929255
0.01	0.30	0.02983068
0.01	0.31	0.03035084
0.01	0.32	0.03085272
0.01	0.32	0.03133602
0.01	0.33	0.03180044
0.01	0.34	0.03224571
0.01	0.35	0.03267155
0.01	0.36	0.03307771
0.01	0.36	0.03346395
0.01	0.37	0.03383003
0.01	0.38	0.03417573
0.01	0.39	0.03450085
0.01	0.39	0.03480518
0.01	0.40	0.03508855
0.01	0.41	0.03535078
0.01	0.42	0.03559172
0.01	0.43	0.03581122
0.01	0.43	0.03600915
0.01	0.44	0.03618538
0.01	0.45	0.03633982
0.01	0.46	0.03647237
0.01	0.46	0.03658296
0.01	0.47	0.03667150
0.01	0.48	0.03673796
0.01	0.49	0.03678228
0.01	0.50	0.03680445
0.01	0.50	0.03680445
0.01	0.51	0.03678228
0.01	0.52	0.03673796
0.01	0.53	0.03667150
0.01	0.54	0.03658296
0.01	0.54	0.03647237
0.01	0.55	0.03633982
0.01	0.56	0.03618538
